Hindi,English
में / mẽ,in
है / hai,Is
हैं / ha͠i,Huh
नहीं / nahī̃,No
लिए / lie,for
गया / gayā,Gone
तथा / tathā,And
अपने / apne,Our
कुछ / kuch,some
साथ / sāth,With
होता / hotā,Would
था / thā,Was
दिया / diyā,gave
हुए / hue,Has
कोई / koī,any
रूप / rūp,form
से / se,from
मैं / ma͠i,I
रहा / rahā,Stayed
हुआ / huā,Happened
बात / bāt,Thing
कहा / kahā,Told
समय / samay,time
क्या / kyā,what
अपनी / apnī,Own
होती / hotī,Happiness
प्रकार / prakār,Type
बहुत / bahut,Very 
तरह / tarah,Kind
बाद / bād,after
फिर / phir,Then
रहे / rahe,are
द्वारा / dvārā,By
अधिक / adhik,More
रही / rahī,doing
होने / hone,Having
एवं / evã,And
हुई / huī,Hui
थे / the,were
उनके / unke,Their
थी / thī,Was
वाले / vāle,Wale
चाहिए / cāhie,should
दिन / din,Day
लेकिन / lekin,but
काम / kām,Work
हूँ / hū̃,am
होते / hote,Having
इसके / iske,Its
उन्हें / unhẽ,them
गये / gaye,Gone
कभी / kabhī,Sometimes
आदि / ādi,Etcetera
लोग / log,people
बार / bār,Times
यहाँ / yahā̃,Here
दोनों / donõ,both
उन्होंने / unhonne,They
कार्य / kārya,Work
पास / pās,near
वहाँ / vahā̃,There
भारत / bhārat,India
लिया / liyā,took
प्राप्त / prāpt,Received
उनकी / unkī,His
लोगों / logõ,People
गयी / gayī,Gone
लगा / lagā,Put
अन्य / anya,others
होगा / hogā,Will happen
इसी / isī,This 
देश / deś,country
यदि / yadi,If
सभी / sabhī,All
नाम / nām,name
वर्ष / varṣ,The year
ऐसा / aisā,Like this
विकास / vikās,Development
अपना / apnā,own
ऐसे / aise,This way
दूसरे / dūsre,Others
हाथ / hāth,Hand
भाषा / bhāṣā,Language
मेरे / mere,My 
मैंने / mainne,I
तुम / tum,you
बीच / bīc,between
वाली / vālī,Wali
बड़े / baṛe,elder
प्रति / prati,To
व्यक्ति / vyakti,person
उनका / unkā,their
लिये / liye,For
इसलिए / islie,that's why
तीन / tīn,Three
इसका / iskā,its
ऐसी / aisī,Such
विशेष / viśeṣ,special
बड़ी / baṛī,Big
अथवा / athvā,Or
भाग / bhāg,part
क्योंकि / kyoṅki,because
सिंह / sĩh,Lion
ठीक / ṭhīk,Ok
स्थिति / sthiti,Situation
परन्तु / parantu,But
स्थान / sthān,Location
यही / yahī,This only
क्यों / kyõ,Why?
गाँव / gā̃v,Village
राज्य / rājya,State
अलग / alag,Separate
लेकर / lekar,With
अभी / abhī,Now
इसमें / ismẽ,in this
विभिन्न / vibhinna,Diverse
सी / sī,C
विचार / vicār,thought
जिस / jis,That
बाहर / bāhar,out
ऊपर / ūpar,Above
बना / banā,Prepared
तैयार / taiyār,Ready
अनेक / anek,Several
सामने / sāmne,front
शिक्षा / śikṣā,Education
शरीर / śarīr,Body
होकर / hokar,In
दृष्टि / dŕṣṭi,Vision
श्री / śrī,Mr.
थीं / thī̃,Was
दूर / dūr,Distant
शब्द / śabd,word
ध्यान / dhyān,attention
चार / cār,Four
मेरी / merī,My
बड़ा / baṛā,Big
पता / patā,Address: ___ aboopur
लगता / lagtā,Festive
आगे / āge,further
किया / kiyā,did
उत्तर / uttar,Answer
किन्तु / kintu,But
आने / āne,Arrival
लगे / lage,Logged
लगभग / lagbhag,Almost
इसे / ise,This
लाख / lākh,lakh
बारे / bāre,About
होना / honā,Happen
इससे / isse,by this
मात्रा / mātrā,amount
अध्ययन / adhyayan,Study
वाला / vālā,Wave
जिसमें / jismẽ,In which
नीचे / nīce,Down
अर्थ / arth,Meaning
लोक / lok,Folk
आवश्यक / āvaśyak,required
